Requirement ID,Requirement title,MVP status,Ticket IDs,Phase,Milestone,Coverage type,Verification ticket,Release gate,Coverage status,Gap or question
APPR-003,Approval inbox,MVP,ACBP-P6-003;ACBP-P6-008,P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,
APPR-004,Payload-bound approvals,MVP,ACBP-P6-004,P6,M6,Direct,ACBP-P6-005,Closed beta,Covered,
APPR-005,Approval expiration,MVP,ACBP-P6-004,P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,
APPR-006,Approval revocation,MVP,ACBP-P6-004,P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,
APPR-007,Approval decision options,MVP,ACBP-P6-003;ACBP-P6-004,P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,
APPR-008,Configurable autonomy levels,MVP,ACBP-P6-006,P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,Levels 1-2 only per PRD
APPR-009,Server-authoritative enforcement,MVP,ACBP-P6-002;ACBP-P6-004,P6,M6,Direct,ACBP-P7-007,Closed beta,Covered,
APPR-010,Action previews,MVP,ACBP-P6-003,P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,
POL-001,Spending limits,MVP,ACBP-P6-001;ACBP-P6-010,P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,Values via ACBP-P0-009
POL-002,Volume limits,Post-MVP,Roadmap epic: External channels,—,—,Roadmap epic,—,—,Deferred by approved scope,
POL-003,Approved channels and recipients,Post-MVP,Roadmap epic: External channels,—,—,Roadmap epic,—,—,Deferred by approved scope,
POL-004,Working-hours limits,Post-MVP,Roadmap epic: Autonomy levels 3-5,—,—,Roadmap epic,—,—,Deferred by approved scope,
POL-005,Forbidden actions and escalation,MVP,ACBP-P6-001,P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,
POL-006,Policy evaluation record,MVP,ACBP-P6-001,P6,M6,Direct,ACBP-P7-007,Closed beta,Covered,
POL-007,Deletion restrictions and approvers,Future,Roadmap epic: Team roles expansion,—,—,Roadmap epic,—,—,Deferred by approved scope,
MEM-001,Typed memory items,MVP,ACBP-P2-006,P2,M2,Direct,ACBP-P2-012,Internal prototype,Covered,
MEM-002,Memory visibility and control,MVP,ACBP-P2-010,P2,M2,Direct,ACBP-P2-012,Internal prototype,Covered,
MEM-003,Memory provenance,MVP,ACBP-P2-006,P2,M2,Direct,ACBP-P1-014;ACBP-P2-012,Internal prototype,Covered,
MEM-004,Instruction precedence,MVP,ACBP-P2-007,P2,M2,Direct,ACBP-P2-012,Internal prototype,Covered,
ACT-001,Company activity feed,MVP,ACBP-P1-009;ACBP-P6-008,P1;P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,
ACT-002,Append-only audit log,MVP,ACBP-P1-008,P1,M1,Direct,ACBP-P7-007,Closed beta,Covered,
ACT-003,Proposed vs executed distinction,MVP,ACBP-P6-008,P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,
ACT-004,Usage and credit visibility,MVP,ACBP-P5-014;ACBP-P6-008,P5;P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,
ACT-005,Failure visibility,MVP,ACBP-P5-013,P5,M5,Direct,ACBP-P5-015,Closed beta,Covered,
BUILD-001,Website generation,Post-MVP,Roadmap epic: Software generation & hosting,—,—,Roadmap epic,—,—,Deferred by approved scope,
BUILD-002,Application generation,Future,Roadmap epic: Software generation & hosting,—,—,Roadmap epic,—,—,Deferred by approved scope,
BUILD-003,Source-code export,Post-MVP,Roadmap epic: Software generation & hosting,—,—,Roadmap epic,—,—,Deferred by approved scope,
BUILD-004,Masked secrets management,Future,Roadmap epic: Software generation & hosting,—,—,Roadmap epic,—,—,Deferred by approved scope,
BUILD-005,Versioning and rollback,Future,Roadmap epic: Software generation & hosting,—,—,Roadmap epic,—,—,Deferred by approved scope,
BUILD-006,Custom domains,Future,Roadmap epic: Software generation & hosting,—,—,Roadmap epic,—,—,Deferred by approved scope,
BUILD-007,Generated-code quality gates,Future,Roadmap epic: Software generation & hosting,—,—,Roadmap epic,—,—,Deferred by approved scope,
DEPLOY-001,Hosted deployment,Future,Roadmap epic: Software generation & hosting,—,—,Roadmap epic,—,—,Deferred by approved scope,
DEPLOY-002,Deployment approval and preview,Future,Roadmap epic: Software generation & hosting,—,—,Roadmap epic,—,—,Deferred by approved scope,
EMAIL-001,Company email surface,Future,Roadmap epic: External channels,—,—,Roadmap epic,—,—,Deferred by approved scope,
EMAIL-002,Outbound email controls,Future,Roadmap epic: External channels,—,—,Roadmap epic,—,—,Deferred by approved scope,
SOCIAL-001,Social publishing surface,Future,Roadmap epic: External channels,—,—,Roadmap epic,—,—,Deferred by approved scope,
ADS-001,Advertising with budget caps,Future,Roadmap epic: External channels,—,—,Roadmap epic,—,—,Deferred by approved scope,
SUPPORT-001,Customer-support assistance,Future,Roadmap epic: External channels,—,—,Roadmap epic,—,—,Deferred by approved scope,
PAY-001,Customer payments surface,Future,Roadmap epic: Commercial launch,—,—,Roadmap epic,—,—,Deferred by approved scope,
BILL-001,Subscription plan,Post-MVP,Roadmap epic: Commercial launch,—,—,Roadmap epic,—,—,Deferred by approved scope,D-02 open
BILL-002,Task credits and ledger,MVP,ACBP-P5-014,P5,M5,Direct,ACBP-P6-011,Closed beta,Covered,
BILL-003,Additional credit purchase,Post-MVP,Roadmap epic: Commercial launch,—,—,Roadmap epic,—,—,Deferred by approved scope,
BILL-004,Billing portal,Post-MVP,Roadmap epic: Commercial launch,—,—,Roadmap epic,—,—,Deferred by approved scope,
BILL-005,Additional-company pricing,Post-MVP,Roadmap epic: Commercial launch,—,—,Roadmap epic,—,—,Deferred by approved scope,C-02/D-02 open
BILL-006,Cancellation semantics,Post-MVP,Roadmap epic: Commercial launch,—,—,Roadmap epic,—,—,Deferred by approved scope,
USAGE-001,Usage metering with account rollups,MVP,ACBP-P2-003;ACBP-P6-009,P2;P6,M6,Direct,ACBP-P6-011,Closed beta,Covered,Amended 2026-07-18
USAGE-002,Cost preview and forecast,Post-MVP,ACBP-P5-014 (preflight preview only);Roadmap epic: Commercial launch,P5,M5,Partial via preflight,ACBP-P5-015,—,Deferred by approved scope,Preflight preview ships MVP per requirement note
EXPORT-001,Data and document export,Post-MVP,ACBP-P7-001,P7,M7,Direct,ACBP-P7-009,Closed beta,Covered,Basic export in MVP plan per task scope
EXPORT-002,Portability manifest,Future,Roadmap epic: Portability expansion,—,—,Roadmap epic,—,—,Deferred by approved scope,D-07
ADMIN-001,Emergency stop hierarchy,MVP,ACBP-P6-007,P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,
ADMIN-002,Recovery after reactivation,MVP,ACBP-P6-007,P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,
ADMIN-003,Roles and membership,MVP,ACBP-P1-004,P1,M1,Direct,ACBP-P1-014,Internal prototype,Covered,
ADMIN-004,Notifications,Post-MVP,Roadmap epic: Commercial launch,—,—,Roadmap epic,—,—,Deferred by approved scope,
INTEG-001,Connection manager,Post-MVP,Roadmap epic: External channels,—,—,Roadmap epic,—,—,Deferred by approved scope,
INTEG-002,Credential vault references,MVP,ACBP-P0-019;ACBP-P0-015,P0,M0,Shared foundation,ACBP-P7-007,Closed beta,Covered through shared foundation,
INTEG-003,Revocation enforcement,Post-MVP,ACBP-P6-002 (rig);Roadmap epic: External channels,P6,M6,Rig in MVP,ACBP-P6-012,—,Deferred by approved scope,Rig lands with dispatcher integration
NFR-001,Tenant isolation,MVP,ACBP-P1-005;ACBP-P1-006;ACBP-P1-014,P1,M1,Direct,ACBP-P1-014;ACBP-P7-007,Every gate,Covered,
NFR-002,Server-authoritative authorization,MVP,ACBP-P1-007,P1,M1,Direct,ACBP-P1-014,Every gate,Covered,
NFR-003,Availability,Post-MVP,ACBP-P7-003;ACBP-P0-004,P7,M7,Measurement foundation,ACBP-P7-010,Closed beta,Covered through verification ticket,Targets measured over beta
NFR-004,Performance,MVP,ACBP-P7-003;ACBP-P7-009,P7,M7,Covered through verification ticket,ACBP-P7-009,Closed beta,Covered through verification ticket,Targets instrumented from P2
NFR-005,Reliability and resumability,MVP,ACBP-P5-001;ACBP-P5-002,P5,M5,Direct,ACBP-P7-008,Closed beta,Covered,
NFR-006,Idempotency,MVP,ACBP-P5-003;ACBP-P6-011,P5;P6,M6,Direct,ACBP-P6-011,Closed beta,Covered,
NFR-007,Retry discipline,MVP,ACBP-P5-013;ACBP-P5-010,P5,M5,Direct,ACBP-P7-008,Closed beta,Covered,
NFR-008,Auditability,MVP,ACBP-P1-008,P1,M1,Direct,ACBP-P7-007,Closed beta,Covered,
NFR-009,Observability,MVP,ACBP-P0-017;ACBP-P7-003,P0;P7,M7,Direct,ACBP-P7-003,Closed beta,Covered,
NFR-010,Security baseline,MVP,ACBP-P0-013;ACBP-P0-020;ACBP-P7-007;ACBP-P7-013,P0;P7,M7,Direct,ACBP-P7-007,Closed beta,"Partially covered - rate limiting now built; CSRF and security headers still absent","ACBP-P7-013 implements the RATE LIMITING item that ACBP-P7-007 recorded as absent (CDR-080 section 4). The values were NOT invented: CDR-008 section 8 ruled them on 2026-07-18 (per-session 60/min sustained burst 120; per-account 300/min) and named ACBP-P6-010 as consumer, but P6-010 implemented only the hard COST caps, so the request-limit layer stayed accepted and unimplemented for nineteen days. Enforced at the api layer per USAGE-AND-BILLING-ARCHITECTURE.md section 3, keyed on the server-verified session and the account - never on IP, because with no deployment configuration there is no trusted proxy and a forged x-forwarded-for would let an attacker spend a victim bucket. STILL ABSENT, each an owner-gated separate ticket: CSRF protection and security headers / CSP. Pen review still open at the General MVP gate."
NFR-011,Privacy,Post-MVP,ACBP-P7-011;ACBP-P0-010,P7,M7,Partial (disclosure+retention),ACBP-P7-010,Closed beta,Covered through verification ticket,Full privacy pack at General MVP
NFR-012,Accessibility,Post-MVP,Roadmap epic: Beta polish,—,—,Roadmap epic,—,General MVP,Deferred by approved scope,Semantic-markup standard applies from M1
NFR-013,Maintainability,MVP,ACBP-P0-012;ACBP-P0-013;ACBP-P0-020,P0,M0,Direct,ACBP-P0-020,Every gate,Covered,
NFR-014,Portability,Post-MVP,ACBP-P5-011;ACBP-P7-001,P5;P7,M7,Direct (open formats),ACBP-P7-001,Closed beta,Covered,
NFR-015,Cost control,MVP,ACBP-P6-010;ACBP-P5-005,P5;P6,M6,Direct,ACBP-P6-012,Closed beta,Covered,
NFR-016,Data retention,Post-MVP,ACBP-P0-010;ACBP-P7-002,P0;P7,M7,Direct (schedule+enforcement start),ACBP-P7-010,Closed beta,Covered through verification ticket,Automation completes post-MVP
NFR-017,Backup and recovery,Post-MVP,ACBP-P7-006,P7,M7,Direct,ACBP-P7-006,Closed beta,Covered,
NFR-018,Secret handling,MVP,ACBP-P0-017;ACBP-P0-019;ACBP-P0-015,P0,M0,Direct,ACBP-P7-007,Closed beta,Covered,
NFR-019,Model-provider resilience,MVP,ACBP-P2-003;ACBP-P5-009,P2;P5,M5,Direct,ACBP-P7-008,Closed beta,Covered,
NFR-020,Integration failure handling,Post-MVP,Roadmap epic: External channels,—,—,Roadmap epic,—,—,Deferred by approved scope,
NFR-021,Prompt-injection defense,MVP,ACBP-P2-007;ACBP-P5-003;ACBP-P5-006,P2;P5,M5,Direct,ACBP-P7-007,Closed beta,Covered,
