Requirement ID,Requirement title,Architecture component,Architecture document,Architecture section,Proposed ADR,Security control,Operational control,Verification approach,Coverage status,Gap or question
TASK-002,Task detail,Task module,API-CONTRACTS.md,Tasks domain,—,Permission-scoped controls,—,Detail rendering tests,Covered (MVP),
TASK-003,Scheduled autonomous work,Workflow coordinator (scheduler),WORKFLOW-STATE-MACHINES.md,§4 + POL-004 hook,ADR-008,Policy window checks,Allowance monitoring,Window + allowance tests,Covered (Post-MVP),OQ-13
TASK-004,Manual run with credit preflight,Task + Usage ledger,diagrams/10,reservation,ADR-013,Atomic reservation; preflight honesty,Ledger reconciliation,Final-credit race tests (AT-025 pattern),Covered (MVP),
TASK-005,Task result artifacts,Document/artifact + Worker runtime,diagrams/07,persist step,ADR-016,No hollow success,Orphan sweep,Persist-failure = task-failure tests,Covered (MVP),
TASK-006,Failure detail,Task module + Observability,FAILURE-AND-RECOVERY.md,all rows,ADR-017,No blank failures,Failure-category metrics,Failure-detail completeness tests,Covered (MVP),
TASK-007,Task cancellation and pause,Task + Workflow coordinator,WORKFLOW-STATE-MACHINES.md,§4 cancel/safe-stop,ADR-008,Safe-stop bounded,—,Cancel + safe-stop timing tests,Covered (MVP),
TASK-008,Repeat and delete controls,Task module,API-CONTRACTS.md,Tasks domain,—,Delete confirmation; running-delete refused,—,Control behavior tests,Covered (MVP),
TASK-009,Idempotent execution,Tool dispatcher + Workflow coordinator,WORKFLOW-STATE-MACHINES.md,§6,ADR-008,Idempotency keys (invariant 8),Duplicate-prevention metric,Replay zero-duplicate tests,Covered (MVP),
TASK-010,Visible retry policy,Task module + Observability,FAILURE-AND-RECOVERY.md,retry columns,ADR-017,Bounded retries only,Retry metrics,Retry visibility tests,Covered (MVP),
WORK-001,Worker registry,Worker runtime + Tool registry,AI-AND-WORKER-ARCHITECTURE.md,§2,ADR-012,Unregistered workers get no tasks,Worker availability metric,Registry enforcement tests,Covered (MVP),
WORK-002,Research worker,Worker runtime,AI-AND-WORKER-ARCHITECTURE.md,§2 initial workers,ADR-012; ADR-019,Read-only tools; citation rules,Output quality rubric,Citation + usefulness tests; eval-gate area (ADR-019),Covered (MVP),Resolved: ADR-019; thresholds = AOQ-19
WORK-003,Strategy worker,Worker runtime,AI-AND-WORKER-ARCHITECTURE.md,§2,ADR-012; ADR-019,Internal tools only,—,Option-standard output tests; eval-gate area,Covered (MVP),Resolved: ADR-019
WORK-004,Document worker,Worker runtime,AI-AND-WORKER-ARCHITECTURE.md,§2,ADR-012; ADR-019,Internal tools only,—,Document-type output tests; eval-gate area,Covered (MVP),Resolved: ADR-019
WORK-005,Least-privilege tool access,Tool dispatcher,diagrams/07,allowlist check,ADR-012,Deny-by-default (invariant 4),Allowlist-change audits,Non-allowlisted invoke rejection tests,Covered (MVP),
WORK-006,Worker pause and disable,Worker runtime + Emergency-stop,COMPONENT-CATALOG.md,worker row,ADR-012,Scoped stop,—,Disable-then-assign negative tests,Covered (MVP),
TOOL-001,Tool registry,Tool registry,COMPONENT-CATALOG.md,dispatcher row,ADR-012,Risk class mandatory; unclassified = most restrictive,—,Registry completeness tests,Covered (MVP),
TOOL-002,Tool-call records,Tool dispatcher + Audit,EVENT-CATALOG.md,tool events,ADR-015,Receipt-required success,Call-record completeness metric,100%-record + unconfirmed-status tests,Covered (MVP),
TOOL-003,Server-side policy gate,Policy engine + Tool dispatcher,APPROVAL-AND-POLICY-ARCHITECTURE.md,§4-5,ADR-010,Fail closed; no self-authorization,Policy-block metrics,Bypass-attempt negative tests,Covered (MVP),
APPR-001,Action risk classification,Tool registry + Policy engine,APPROVAL-AND-POLICY-ARCHITECTURE.md,§4,ADR-010,Class drives defaults,—,Classification coverage tests,Covered (MVP),
APPR-002,Approval request content,Approval engine,diagrams/08,request node,ADR-009,Full-content requirement blocks incomplete requests,—,Content completeness tests,Covered (MVP),
APPR-003,Approval inbox,Approval engine + Decision Room,diagrams/11,inbox queue,ADR-009,Fail closed on outage,Approval wait-time metric,Inbox latency + history tests,Covered (MVP),
APPR-004,Payload-bound approvals,Approval engine + Tool dispatcher,APPROVAL-AND-POLICY-ARCHITECTURE.md,§2,ADR-009,Hash binding (invariant 7),—,Edit-invalidates tests (launch gate 4),Covered (MVP),
APPR-005,Approval expiration,Approval engine,WORKFLOW-STATE-MACHINES.md,§5 expired,ADR-009,Clock-conservative expiry,—,Expired-execution rejection tests,Covered (MVP),
APPR-006,Approval revocation,Approval engine,WORKFLOW-STATE-MACHINES.md,§5 revoked,ADR-009,Revoke wins races,—,Revoke-vs-execute race tests,Covered (MVP),
APPR-007,Approval decision options,Approval engine,APPROVAL-AND-POLICY-ARCHITECTURE.md,§2-3,ADR-009,Edit rebinds hash; batch enumerates members,—,Five-decision-path tests,Covered (MVP),
APPR-008,Configurable autonomy levels,Policy engine,APPROVAL-AND-POLICY-ARCHITECTURE.md,§3-4,ADR-010,Invalid config = most restrictive,—,Level 1-2 behavior tests; 3-5 disabled-visible tests,Covered (MVP levels 1-2),
APPR-009,Server-authoritative enforcement,Tool dispatcher,diagrams/08,pre-exec check,ADR-009,Invariants 5/6,—,API-level unapproved-execution rejection tests (launch gate 3),Covered (MVP),
APPR-010,Action previews,Approval engine,diagrams/08,request content,ADR-009,Preview-match verification for previewable types,—,Preview-equals-execution tests,Covered (MVP),
POL-001,Spending limits,Policy engine + Usage ledger,diagrams/10,caps node,ADR-010,Worst-case reservation on ambiguity,Cap-block metrics,Limit-breach blocking tests,Covered (MVP),AOQ-14 values
POL-002,Volume limits,Policy engine,APPROVAL-AND-POLICY-ARCHITECTURE.md,§4 dimensions,ADR-010,Fail closed at cap,Counter visibility,Cap enforcement tests,Covered (Post-MVP),
POL-003,Approved channels and recipients,Policy engine,APPROVAL-AND-POLICY-ARCHITECTURE.md,§4,ADR-010,Destination fail-closed,—,Non-approved destination tests,Covered (Post-MVP),
POL-004,Working-hours limits,Policy engine + scheduler,APPROVAL-AND-POLICY-ARCHITECTURE.md,§4,ADR-010,Out-of-window denial,Timezone re-evaluation,Window boundary tests,Covered (Post-MVP),
POL-005,Forbidden actions and escalation,Policy engine,APPROVAL-AND-POLICY-ARCHITECTURE.md,§4 conflict rule,ADR-010,Forbidden beats approval; most-restrictive-wins,Escalation queue,Forbidden-regardless-of-approval tests,Covered (MVP),
POL-006,Policy evaluation record,Policy engine + Audit,EVENT-CATALOG.md,policy.evaluated,ADR-010,Append-only records,Evaluation completeness metric,Missing-evaluation = blocked tests,Covered (MVP),
POL-007,Deletion restrictions and required approvers,Policy engine + roles,APPROVAL-AND-POLICY-ARCHITECTURE.md,§4 required roles,ADR-010,Absent approver escalates,—,Designated-approver tests,Future — boundary defined,
MEM-001,Typed memory items,Memory module,DATA-ARCHITECTURE.md,§3,ADR-015,Untyped writes rejected,—,Type enforcement tests,Covered (MVP),
MEM-002,Memory visibility and control,Memory module,API-CONTRACTS.md,Memory domain,ADR-015,Owner edit/delete audited,—,Browser + deletion propagation tests,Covered (MVP),
MEM-003,Memory provenance,Memory module,DATA-ARCHITECTURE.md,§3 provenance,ADR-007,Company-scoped; resolvable sources,—,Source-link + cross-company isolation tests,Covered (MVP),
MEM-004,Instruction precedence,Context assembler,AI-AND-WORKER-ARCHITECTURE.md,§1,ADR-011,Conflicts emit questions,—,Seeded-conflict tests,Covered (MVP),
ACT-001,Company activity feed,Activity event,diagrams/11,feed,ADR-015,Tenant-scoped,SSE health,Ordering + filter tests,Covered (MVP),
ACT-002,Append-only audit log,Audit module,diagrams/11,audit store,ADR-015,Invariant 11; in-tx high-risk writes,Audit-write-failure paging,Immutability + completeness tests,Covered (MVP),
ACT-003,Proposed vs executed distinction,Activity + Tool dispatcher,diagrams/11,marking,ADR-015,Evidence joins (invariant 20),—,Hollow-success rendering tests,Covered (MVP),
ACT-004,Usage and credit visibility,Usage ledger,diagrams/10,ledger,ADR-013,Balance = ledger sum,Reconciliation alerts,Ledger-sum equality tests,Covered (MVP),
ACT-005,Failure visibility,Activity + Task,FAILURE-AND-RECOVERY.md,user-facing column,ADR-017,Suppression-proof feed record,—,Failure-event emission tests,Covered (MVP),
BUILD-001,Website generation,Generated-project provisioning,DEPLOYMENT-ARCHITECTURE.md,§3 future boundary,ADR-016,Separate trust zone (invariant 18),—,Boundary tests when built,Future — boundary defined (Post-MVP req),
BUILD-002,Application generation,Generated-project provisioning,DEPLOYMENT-ARCHITECTURE.md,§3,—,Sandboxed builds (SECURITY §1 trigger),—,Quality-gate tests when built,Future — boundary defined,
BUILD-003,Source-code export,Export + artifact storage,ADR-016,export pattern,ADR-016,No secrets in exports,Export monitoring,Export fidelity tests when built,Future — boundary defined (Post-MVP req),
BUILD-004,Masked secrets management,Credential vault pattern,SECURITY-ARCHITECTURE.md,§2,ADR-014,Same reference pattern extends,—,Masking tests when built,Future — boundary defined,
BUILD-005,Versioning and rollback,Generated-project provisioning,DEPLOYMENT-ARCHITECTURE.md,§3,—,Rollback approval (external class),—,Rollback tests when built,Future — boundary defined,
BUILD-006,Custom domains,Generated-project provisioning,DEPLOYMENT-ARCHITECTURE.md,§3,—,DNS/TLS validation,—,Domain flow tests when built,Future — boundary defined,
BUILD-007,Generated-code quality gates,Generated-project provisioning,DEPLOYMENT-ARCHITECTURE.md,§3,—,Gates block deploy,—,Gate enforcement tests when built,Future — boundary defined,
DEPLOY-001,Hosted deployment,Generated-project provisioning,DEPLOYMENT-ARCHITECTURE.md,§3,ADR-018,Isolated zone,Health checks,Deploy health tests when built,Future — boundary defined,
DEPLOY-002,Deployment approval and preview,Approval engine (extends),APPROVAL-AND-POLICY-ARCHITECTURE.md,§3 scopes,ADR-009,Same approval machinery,—,Deploy-approval tests when built,Future — boundary defined,
EMAIL-001,Company email surface,Integration module,COMPONENT-CATALOG.md,integration row,—,Connection manager pattern,—,When built,Future — boundary defined,
EMAIL-002,Outbound email controls,Integration + Policy + Approval,APPROVAL-AND-POLICY-ARCHITECTURE.md,§4 destinations,ADR-009/010,Consent + recipient policy; receipts,Delivery monitoring,Consent/approval negative tests when built,Future — boundary defined,
SOCIAL-001,Social publishing surface,Integration module,COMPONENT-CATALOG.md,integration row,ADR-009,Approval-gated publishing; receipts,—,Publish-once hash tests when built,Future — boundary defined,
ADS-001,Advertising with budget caps,Integration + Policy,APPROVAL-AND-POLICY-ARCHITECTURE.md,§4 spending,ADR-010,Cap-halt; fee disclosure pre-approval,Spend monitoring,Cap enforcement tests when built,Future — boundary defined,
SUPPORT-001,Customer-support assistance,Worker runtime (future worker),AI-AND-WORKER-ARCHITECTURE.md,§2 pattern,ADR-012,Draft-only default; escalation,—,Autonomy-level tests when built,Future — boundary defined,
PAY-001,Customer payments surface,Billing + Integration,USAGE-AND-BILLING-ARCHITECTURE.md,§5,—,Compliance-first design (OQ-11),—,When built,Future — boundary defined,
BILL-001,Subscription plan,Billing module,USAGE-AND-BILLING-ARCHITECTURE.md,§5,ADR-013,Entitlement gating,Webhook monitoring,Entitlement gate tests,Covered (Post-MVP),D-02 open
BILL-002,Task credits and ledger,Usage ledger,diagrams/10,credit transactions,ADR-013,Append-only; atomic reservation,Reconciliation,Race + append-only tests,Covered (MVP),
BILL-003,Additional credit purchase,Billing module,USAGE-AND-BILLING-ARCHITECTURE.md,§5,ADR-013,Atomic grant with payment confirmation,—,Purchase atomicity tests,Covered (Post-MVP),AOQ-07
BILL-004,Billing portal,Billing module,COMPONENT-CATALOG.md,billing row,ADR-018,Signature-verified webhooks; no card data,Portal availability,Webhook verification tests,Covered (Post-MVP),AOQ-07
BILL-005,Additional-company pricing (unresolved),Billing module,USAGE-AND-BILLING-ARCHITECTURE.md,§5 single-source display,ADR-013,Single price source,Display consistency check,Cross-surface price-consistency tests,Covered (Post-MVP),C-02/D-02 open
BILL-006,Cancellation semantics,Billing + Account & company,USAGE-AND-BILLING-ARCHITECTURE.md,§5,ADR-013,Pause-not-delete,—,Cancellation state tests,Covered (Post-MVP),
USAGE-001,Usage metering with account rollups,Usage ledger + Model gateway,diagrams/10,usage events + account rollups,ADR-013,Fail closed on metering failure; immutable events; compensating corrections,Reconciliation (company + account levels),Attribution + fail-closed + rollup-determinism + no-double-count + company-move/deactivation tests,Covered (MVP),Amendment executed 2026-07-18 (PRD 1.2.0-draft)
USAGE-002,Cost preview and forecast,Usage ledger + Task preflight,USAGE-AND-BILLING-ARCHITECTURE.md,§3 cost estimation,ADR-013,Unknown-cost explicit confirmation,Estimate-vs-actual tracking,Estimate display tests,Covered (Post-MVP; preflight preview in MVP),
EXPORT-001,Data and document export,Export module,diagrams/15,export path,ADR-016,Ownership verification; no secrets,Export job monitoring,Completeness + secret-scan tests,Covered (Post-MVP),
EXPORT-002,Portability manifest,Export module,ADR-016,manifest direction,ADR-016,—,—,Third-party rebuild test when built,Future — boundary defined,D-07
ADMIN-001,Emergency stop hierarchy,Emergency-stop controller,diagrams/13,all scopes,ADR-010,Invariant 14; fail closed on controller failure,Stop-activation metric,Seven-scope ≤5s halt tests (launch gate 8),Covered (MVP),
ADMIN-002,Recovery after reactivation,Emergency-stop controller,diagrams/13,resume review,ADR-009,Expired approvals not resurrected; nothing auto-fires,Held-work queue,Resume-review negative tests,Covered (MVP),
ADMIN-003,Roles and membership,Identity & access,SECURITY-ARCHITECTURE.md,§1 role enforcement,ADR-006,Server-side role matrix; company-scoped invites,—,Role matrix negative tests,Covered (MVP owner+viewer),
ADMIN-004,Notifications,Notification module,COMPONENT-CATALOG.md,notification row,ADR-017,Critical events reroutable not silenceable,Delivery logs,Preference + non-silence tests,Covered (Post-MVP),
INTEG-001,Connection manager,Integration module,COMPONENT-CATALOG.md,integration row,ADR-014,Scopes displayed; health honest,Health-check cycle,Connection state tests when built,Covered (Post-MVP boundary),
INTEG-002,Credential vault references,Credential vault facade (Infisical),SECURITY-ARCHITECTURE.md,§2,ADR-014; ADR-021,Invariants 12/13; per-component machine identities,Rotation + leak runbooks,No-plaintext-egress negative tests,Covered (MVP),Resolved: ADR-021 (Infisical); identity method = AOQ-22
INTEG-003,Revocation enforcement,Integration + Tool dispatcher,WORKFLOW-STATE-MACHINES.md,§6 authorization,ADR-014,Invariant 15; revoke wins races,—,Revoke-then-use tests (launch gate 15 rig),Covered (Post-MVP; rig in MVP),
NFR-001,Tenant isolation,Data layer (two-layer),diagrams/12,all layers,ADR-007,Invariants 1/2/19,Prod isolation probes,Adversarial suite 100% (launch gates 1/2),Covered (MVP),
NFR-002,Server-authoritative authorization,Identity + api middleware,SECURITY-ARCHITECTURE.md,§1,ADR-006,Deny by default,—,Negative test per privileged endpoint,Covered (MVP),
NFR-003,Availability,Deployment topology,DEPLOYMENT-ARCHITECTURE.md,§1,ADR-018,—,Availability measurement + reporting,Uptime monitoring,Covered (Post-MVP),
NFR-004,Performance,api + gateway,TECHNICAL-ARCHITECTURE-v1.md,§4,ADR-006,—,Latency metrics p75/p90,Production perf measurement,Covered (MVP),
NFR-005,Reliability and resumability,Workflow coordinator,FAILURE-AND-RECOVERY.md,§4/12,ADR-008,Checkpointing,Dead-letter monitoring,Kill-and-resume tests,Covered (MVP),
NFR-006,Idempotency,Tool dispatcher,WORKFLOW-STATE-MACHINES.md,§6,ADR-008,Idempotency keys (invariant 8),Duplicate metric,Replay zero-duplicate suite (launch gate 5),Covered (MVP),
NFR-007,Retry discipline,Workflow coordinator + gateway,FAILURE-AND-RECOVERY.md,global rules,ADR-008,Bounded backoff; config caps,Retry metrics,Retry-policy conformance tests,Covered (MVP),
NFR-008,Auditability,Audit module,diagrams/11,audit store,ADR-015,Invariant 11,Audit-write-failure paging,Completeness ≤5s tests (launch gate 11),Covered (MVP),
NFR-009,Observability,Observability stack,OBSERVABILITY-AND-OPERATIONS.md,§1,ADR-017,Redaction pipeline,Full metric set §2,Trace-resolution + CI secret-scan tests,Covered (MVP),
NFR-010,Security baseline,All modules + CI,SECURITY-ARCHITECTURE.md,§1,ADR-006,"ASVS-aligned controls; dependency scanning; HTTP rate limiting (ACBP-P7-013)",CI gates,"Pen review pre-beta; scan gates; rate-limit coverage check + real-PostgreSQL bucket suite","Partially covered - rate limiting now built; CSRF and security headers still absent","ACBP-P7-013 closes the RATE LIMITING item of NFR-010 three-part ASVS baseline: CDR-008 section 8 per-session (60/min sustained, burst 120) and per-account (300/min) ceilings are enforced at the api layer in apps/web, backed by PostgreSQL table api_rate_limit_buckets (migration 0055), with tools/check-rate-limit-coverage.mjs failing the build if a route handler stops reaching the ceiling. STILL ABSENT and each an owner-gated separate ticket per CDR-080 section 4: CSRF protection (CDR-081 section 8.2) and security headers / CSP (CDR-081 section 8.3). ALSO NOT CLOSED: the PEN REVIEW has not happened - it needs an external vendor and RELEASE-GATES.md:11 places it at the General MVP gate, not closed beta. NOT BOUNDED by the new control: unauthenticated pre-session traffic, which needs a deployment edge and this repository contains no deployment configuration at all (CDR-081 sections 1.4, 6.1, 8.1)."
NFR-011,Privacy,Data layer + telemetry,diagrams/15,documentation obligations,ADR-005 (accepted) + ADR-017,Encryption; data map; no personal data in logs,Retention jobs,Data-map coverage + log scans,Covered (Post-MVP),AOQ-12
NFR-012,Accessibility,Web client,TECHNICAL-ARCHITECTURE-v1.md,§4,—,—,a11y CI checks,WCAG 2.1 AA audit of core journeys,Covered (Post-MVP),
NFR-013,Maintainability,Codebase + CI,TECHNICAL-ARCHITECTURE-v1.md,§7 module rules,ADR-006,—,CI gates on merge,Gate enforcement,Covered (MVP),
NFR-014,Portability,Artifact storage + Export,ADR-016,open formats,ADR-016,—,—,Format documentation checks,Covered (Post-MVP),
NFR-015,Cost control,Usage ledger + Policy + gateway,diagrams/10,caps,ADR-013,Hard caps (≤1 increment overrun),Cost dashboards,Cap-enforcement tests,Covered (MVP),AOQ-14
NFR-016,Data retention,Data layer,diagrams/15,purge path,ADR-016,Retention schedule enforced,Retention job logs,Retention automation tests,Covered (Post-MVP),AOQ-12
NFR-017,Backup and recovery,Managed Postgres + runbooks,DEPLOYMENT-ARCHITECTURE.md,§2,ADR-018,—,Restore drills quarterly,Drill within RTO (pre-beta),Covered (Post-MVP),AOQ-15
NFR-018,Secret handling,Credential vault + telemetry,SECURITY-ARCHITECTURE.md,§2,ADR-014,Invariants 12/13,CI + log scanners,Zero-findings scans + negative API tests (launch gate 12),Covered (MVP),
