Requirement ID,Requirement,Evidence type,Source file,Source section,Screenshot or artifact,Observed route,Observation,Confidence,Contradiction,Resolution
COMP-007,Company deletion safeguards,observed,docs/research/polsia/raw-audit/05-approval-matrix.md,Direct approval evidence,evidence/screenshots/02-company-settings-redacted.png,dashboard overlay,"Delete Company labeled as Danger Zone with explicit cannot-be-undone warning; not activated.",95,none,
COMP-008,Company status indicator,observed,docs/research/polsia/raw-audit/01-executive-summary.md,Directly observed,none,/dashboard/<company-slug>,"Company mood/status ('Shipped') displayed on the dashboard.",95,none,
PLAN-001,Autonomous task planning,observed,docs/research/polsia/raw-audit/04-task-and-agent-system.md,Autonomous planning observation,none,/dashboard/<company-slug>,"Clicking + New tasks triggered visible planning and produced three new task cards in the activity feed.",95,none,
PLAN-002,User-steered planning,partial,docs/research/polsia/raw-audit/04-task-and-agent-system.md,FAQ-backed cycle model,evidence/screenshots/06-faq-redacted.png,dashboard overlay,"Chat/planning surface observed; FAQ stated chat can be asked to run a specific task; not exercised.",80,none,
PLAN-003,Recurring planning cycles,documented,docs/research/polsia/raw-audit/04-task-and-agent-system.md,FAQ-backed cycle model,evidence/screenshots/06-faq-redacted.png,dashboard overlay,"FAQ described daily early-morning cycles reviewing state and generating prioritized tasks.",85,none,
ROAD-001,Goals roadmap milestones,observed,docs/research/polsia/raw-audit/03-onboarding-flow.md,Safe evidence,none,dashboard overlay,"Roadmap and mission documents were generated during onboarding; initial tasks existed.",95,none,
TASK-001,Task state machine,observed,docs/research/polsia/raw-audit/04-task-and-agent-system.md,Task lifecycle observed,evidence/screenshots/04-task-manager-redacted.png,dashboard overlay,"Six buckets visible: To Do, Recurring, In Progress, Completed, Rejected, Failed.",97,none,"Empty-bucket behaviors unverified (evidence/task-states.csv)."
TASK-002,Task detail,observed,docs/research/polsia/raw-audit/04-task-and-agent-system.md,Task lifecycle observed,evidence/screenshots/04-task-manager-redacted.png,dashboard overlay,"Task detail showed status, type, created time, structured description, Delete, Repeat, and Run now.",97,none,
TASK-003,Scheduled autonomous work,observed+documented,docs/research/polsia/raw-audit/09-claim-verification.md,Claim 4,evidence/screenshots/06-faq-redacted.png,dashboard overlay,"'Tonight' task markers, a 30-night-shift allowance, and FAQ daily-cycle description all observed.",95,none,
TASK-004,Manual run with credit preflight,observed,docs/research/polsia/raw-audit/24-runtime-billing-quality-validation.md,Section 1 Runtime validation,none,/dashboard/<company-slug>,"A low-risk research task was run end to end; the menu showed one remaining credit afterward.",95,C-01,"Later execution evidence supersedes earlier 'not tested' wording; see CONTRADICTIONS-RESOLVED.md C-01."
TASK-005,Task result artifacts,observed,docs/research/polsia/raw-audit/24-runtime-billing-quality-validation.md,Section 1 Runtime validation,none,/dashboard/<company-slug>,"The completed run persisted a competitive-audit report document visible in the dashboard.",97,C-01,"Same as TASK-004."
TASK-007,Cancel and safe-stop,partial,docs/research/polsia/raw-audit/04-task-and-agent-system.md,Controls not exercised,none,dashboard overlay,"Company-level Pause existed; task-level cancellation/pause was never exercised.",70,none,"Our safe-stop design is an improvement commitment, not observed parity."
TASK-008,Repeat and delete controls,observed,docs/research/polsia/raw-audit/04-task-and-agent-system.md,Task lifecycle observed,evidence/screenshots/04-task-manager-redacted.png,dashboard overlay,"Delete and Repeat controls visible on task detail; Repeat was the visible recovery control on the failed task.",97,none,
ACT-001,Company activity feed,observed,docs/research/polsia/raw-audit/03-onboarding-flow.md,Safe evidence,none,/dashboard/<company-slug>,"Chronological activity stream covered onboarding, planning, and task events.",97,none,
ACT-004,Usage and credit visibility,observed,docs/research/polsia/raw-audit/07-billing-and-pricing.md,Credits,none,dashboard overlay,"Credits dialog showed balance split expirable/permanent, reset date, and a ledger with bonus, spend, and refund entries.",97,none,
ACT-005,Failure visibility,partial,docs/research/polsia/raw-audit/04-task-and-agent-system.md,Task lifecycle observed,evidence/screenshots/04-task-manager-redacted.png,dashboard overlay,"A failed task was visible in its bucket but exposed no error detail.",75,none,"Polsia's missing failure detail motivates improvement TASK-006."
BUILD-001,Website generation,observed,docs/research/polsia/raw-audit/01-executive-summary.md,Directly observed,evidence/screenshots/07-generated-site-redacted.png,https://<company-slug>.polsia.app/,"The generated public site rendered with navigation, content sections, and a theme toggle.",97,none,
BUILD-002,Application generation,partial,docs/research/polsia/raw-audit/22-exported-code-verification.md,Whole file,polsia-export archives (see SOURCE-NOTES.md),none,"One exported generated project was inspected: it built, passed 57 tests, and included deployment/security configuration.",80,C-06,"Export proves generated-software capability, not platform internals; one sample only."
BUILD-003,Source-code export,observed+documented,docs/research/polsia/raw-audit/09-claim-verification.md,Claim 17,none,dashboard overlay,"Download Code menu entry visible; FAQ confirmed export; an actual archive was obtained and inspected.",95,C-08,"Code export verified; full infrastructure portability remains unverified."
BUILD-004,Masked secrets management,observed,docs/research/polsia/raw-audit/02-application-map.md,App Secrets row,none,dashboard overlay,"Secrets UI hid values by default, marked provided secrets read-only, and required redeploy after changes.",97,none,
BUILD-005,Versioning and rollback,partial,docs/research/polsia/raw-audit/09-claim-verification.md,Claim 29,none,dashboard overlay,"Versions dialog explained rollback redeploys the live site; no versions existed to test.",75,none,"Rollback execution unverified (OQ-09)."
BUILD-006,Custom domains,partial,docs/research/polsia/raw-audit/02-application-map.md,Manage Domains row,none,dashboard overlay,"Platform URL, Edit URL, and custom-domain entry points visible; no domain was connected.",75,none,
DEPLOY-001,Hosted deployment,observed,docs/research/polsia/raw-audit/01-executive-summary.md,Directly observed,evidence/screenshots/07-generated-site-redacted.png,https://<company-slug>.polsia.app/,"The company's site was live at a platform subdomain.",95,none,
EMAIL-001,Company email surface,observed,docs/research/polsia/raw-audit/06-integrations.md,Integration inventory (company email),none,/dashboard/<company-slug>,"Company mailbox existed with one sent (welcome email) and zero received at audit time.",95,none,
SOCIAL-001,Social publishing surface,observed,docs/research/polsia/raw-audit/09-claim-verification.md,Claim 12,none,/dashboard/<company-slug>,"Connected social section with a public post and Tweet/Auto-tweet controls; publishing not exercised.",95,C-03,"Controls exist; approval semantics around publishing are unknown — our approval design is an improvement."
ADS-001,Advertising with budget caps,documented,docs/research/polsia/raw-audit/07-billing-and-pricing.md,Revenue and ads,evidence/screenshots/06-faq-redacted.png,dashboard overlay,"Ads surface visible; FAQ described user-set budget limits and a 20% platform fee; no campaign run.",85,none,
SUPPORT-001,Customer-support assistance,partial,docs/research/polsia/raw-audit/09-claim-verification.md,Claim 14,evidence/screenshots/06-faq-redacted.png,dashboard overlay,"FAQ claimed customer-inquiry handling; no support workflow was observed.",70,none,
PAY-001,Customer payments surface,documented+partial,docs/research/polsia/raw-audit/24-runtime-billing-quality-validation.md,Section 2 Billing and legal validation,none,dashboard overlay,"Payments dialog showed a payments-to-platform view, a portal button, and 'No payments yet'; FAQ described automatic payment routing and a 20% revenue fee; nothing executed.",85,none,
BILL-001,Subscription plan,observed+documented,docs/research/polsia/raw-audit/07-billing-and-pricing.md,Current visible plan,evidence/screenshots/03-pricing-redacted.png,dashboard overlay,"Subscription sheet and FAQ agreed: $25/month, one company, 30 night shifts, 5 task credits, $5 AI allowance.",95,C-07,"A historical $49 claim was contradicted by both live sheet and FAQ; $25 stands as the observed current price."
BILL-002,Task credits and ledger,observed,docs/research/polsia/raw-audit/07-billing-and-pricing.md,Credits,none,dashboard overlay,"Append-style ledger showed grant (+2), spend (−1), refund (+1) with expirable/permanent split and reset date; a later run visibly decremented the balance.",97,none,
BILL-003,Additional credit purchase,observed+documented,docs/research/polsia/raw-audit/07-billing-and-pricing.md,Extra capacity,evidence/screenshots/03-pricing-redacted.png,dashboard overlay,"Credit tiers from 15/$19 to 1000/$999 per month shown in sheet and FAQ; no purchase made.",95,none,
BILL-004,Billing portal,observed,docs/research/polsia/raw-audit/02-application-map.md,Payments row,none,dashboard overlay,"A hosted billing-portal entry point (Stripe-branded) was visible; not opened.",95,none,"Vendor identity is reference evidence, not our architecture choice."
BILL-005,Additional-company pricing (unresolved),partial,docs/research/polsia/raw-audit/evidence/pricing.csv,extra_company row,evidence/screenshots/03-pricing-redacted.png,dashboard overlay,"Add-company sheet showed +$20/month each while FAQ said $25/month each.",70,C-02,"Deliberately unresolved; both observations preserved; our price is owner decision D-02."
BILL-006,Cancellation semantics,documented,docs/research/polsia/raw-audit/24-runtime-billing-quality-validation.md,Section 2 Billing and legal validation,evidence/screenshots/06-faq-redacted.png,dashboard overlay,"FAQ stated cancellation pauses the company without deleting data; company deletion is separate and irreversible.",85,none,
USAGE-001,Usage metering,observed,docs/research/polsia/raw-audit/24-runtime-billing-quality-validation.md,Section 1 Runtime validation,none,/dashboard/<company-slug>,"The observed manual run consumed exactly one task credit, visible in the menu after completion.",95,C-01,"Execution evidence supersedes earlier not-tested wording."
ADMIN-003,Roles and membership,partial,docs/research/polsia/raw-audit/05-approval-matrix.md,Direct approval evidence,none,dashboard overlay,"Team invite form stated access is granted only to the current company; roles and revocation were not observed.",75,none,"Role model beyond company scoping is our design."
