Requirement ID,Category,Title,Requirement,User value,Evidence class,Evidence source,Confidence,Parity or improvement,Priority,MVP status,Dependencies,Acceptance criteria,Failure behavior,Open question
COMP-002,Company,Workspace provisioning,"Creating a company provisions a workspace: profile, mission draft, research area, roadmap area, document store, and activity stream. (Code/hosting provisioning is Post-MVP; see BUILD/DEPLOY.)","A usable company workspace from minute one.",Directly observed,"raw-audit/03-onboarding-flow.md (observed provisioning sequence, 99%)",95,Parity,Must,MVP,COMP-001,"After creation the workspace exposes profile, documents, tasks, and activity; every provisioning step is visible and resumable.","A failed step is shown with reason and retry; no orphaned resources.",
COMP-003,Company,Provisioning progress stream,"Provisioning progress is shown as an ordered, timestamped activity stream ending in an explicit completed or failed state.","Trust through visibility.",Directly observed,"raw-audit/03-onboarding-flow.md (activity stream, 99%)",97,Parity,Must,MVP,COMP-002,"Each stage is timestamped and ordered; completion or failure is explicit; no stage claims success without a recorded result.","Interrupted provisioning resumes from the last checkpoint.",
COMP-004,Company,Company profile and brief,"Each company has an editable profile: name, brief, mission, market summary, and status.","The company's identity in one place.",Directly observed,"raw-audit/02-application-map.md (documents: Mission, Market Research); raw-audit/03-onboarding-flow.md",95,Parity,Must,MVP,COMP-002,"Profile fields are editable with version history; edits create audit events.","Concurrent edits resolve last-write-wins with visible history.",
COMP-005,Company,Company settings,"Users can rename a company and manage company-level settings.","Basic administration.",Directly observed,"raw-audit/02-application-map.md (Company settings overlay, 99%)",97,Parity,Must,MVP,COMP-002,"Rename persists everywhere the name is displayed.","Invalid names rejected with clear message.",
COMP-006,Company,Company pause,"Users can pause a company; pause stops all scheduled and autonomous work without deleting data.","Reversible off-switch.",Directly observed,"raw-audit/02-application-map.md (Pause control); raw-audit/09-claim-verification.md claim 22 (99%)",97,Parity,Must,MVP,COMP-002;ADMIN-001,"While paused no new autonomous work starts; in-flight tasks reach a safe stop; resume restores schedules; both transitions are audited.","Pause during an in-flight run reaches a defined safe state (see open question OQ-14).","Polsia's in-flight pause semantics are unknown."
COMP-007,Company,Company deletion safeguards,"Company deletion is a two-step confirmed, irreversible action with an export offer and audit trail.","Prevents catastrophic mistakes.",Directly observed,"raw-audit/05-approval-matrix.md (Danger Zone 'cannot be undone', 99%)",95,Parity,Must,Post-MVP,COMP-002;EXPORT-001,"Deletion requires explicit typed confirmation; export is offered first; deletion event is audited; purge follows retention policy.","Partial deletion failures roll forward to complete or restore a consistent state.",
COMP-008,Company,Company status indicator,"Each company shows a human-readable operating status (e.g., provisioning, active, paused).","At-a-glance state.",Directly observed,"raw-audit/01-executive-summary.md (company mood 'Shipped', 99%)",95,Parity,Should,MVP,COMP-002,"Status reflects actual lifecycle state and updates within one minute of change.","Unknown states render as 'unknown', never a fabricated healthy state.",
DISC-001,Discovery,Adaptive interview engine,"The founder interview asks a small batch of questions at a time (max 3) and generates the next batch from previous answers.","No overwhelming forms; relevant questions only.",Improvement (own design),"polsia-audit-review.md ('adaptive founder interview' listed as NOT verified Polsia parity; our differentiator)",n/a,Improvement,Must,MVP,COMP-001,"No screen shows more than 3 questions; at least one later question demonstrably depends on an earlier answer; session state persists.","Engine fallback to a static question set if generation fails, flagged as non-adaptive.",
DISC-002,Discovery,Context-aware follow-ups,"The interview asks follow-up questions that reference and build on specific earlier answers.","Feels understood; higher-quality inputs.",Improvement (own design),"polsia-audit-review.md improvement 1",n/a,Improvement,Must,MVP,DISC-001,"Follow-ups quote or reference the triggering answer; irrelevant follow-ups can be dismissed with reason captured.","If context retrieval fails the question is asked generically and marked as such.",
DISC-003,Discovery,Vague-answer detection,"The system detects vague or non-committal answers and asks for specifics with examples.","Prevents garbage-in planning.",Improvement (own design),"Task instruction; polsia-audit-review.md improvement 1",n/a,Improvement,Must,MVP,DISC-001,"A vague answer (e.g., 'everyone' as target customer) triggers one clarifying prompt with 2+ concrete examples; user may decline.","Repeated vagueness is recorded as an explicit assumption, not silently accepted.",
DISC-004,Discovery,Contradiction detection,"The interview detects contradictions between answers and surfaces them for resolution.","Catches inconsistent plans early.",Improvement (own design),"Task instruction",n/a,Improvement,Should,MVP,DISC-001,"A seeded contradictory answer pair is flagged with both statements shown; user resolves or accepts the tension explicitly.","Undetected contradictions can be flagged manually later (UNDER-002).",
DISC-005,Discovery,Unknown answers and suggested assumptions,"Users can answer 'I don't know'; the system proposes a labeled assumption with rationale that the user can accept, edit, or defer.","Progress without false certainty.",Improvement (own design),"polsia-audit-review.md improvement 2",n/a,Improvement,Must,MVP,DISC-001;MEM-001,"'I don't know' is always available; accepted assumptions are stored as Assumption memory items with source='AI-suggested'.","Deferred questions appear in the understanding document as open items.",
DISC-006,Discovery,Question rationale,"Each interview question can explain why the information matters and what it affects.","Respects the founder's time and intelligence.",Improvement (own design),"Task instruction",n/a,Improvement,Should,MVP,DISC-001,"Every question has a 'why we ask' affordance with a specific downstream use.","Missing rationale defaults to a category-level explanation.",
DISC-007,Discovery,Progressive resumable session,"The interview is resumable across sessions and never forces completion in one sitting.","Fits real founders' schedules.",Improvement (own design),"Task instruction",n/a,Improvement,Must,MVP,DISC-001,"Closing mid-interview and returning restores position and answers exactly; progress indicator is honest.","Corrupted session state recovers to the last confirmed answer.",
DISC-008,Discovery,Answer correction,"Users can revise any earlier answer; dependent questions and assumptions are re-evaluated and flagged.","Mistakes are cheap to fix.",Improvement (own design),"Task instruction",n/a,Improvement,Must,MVP,DISC-001;UNDER-004,"Editing an answer marks dependent understanding items as needing review; nothing silently stays stale.","Re-evaluation failure flags affected items as 'stale' visibly.",
UNDER-001,Understanding,Business-understanding document,"The system produces an editable structured understanding: idea, problem, target customer, user, buyer, solution, market, geography, language, business model, pricing assumptions, existing resources, budget, timeline, founder involvement, risk tolerance, constraints.","One agreed picture of the business before any execution.",Improvement (own design),"polsia-audit-review.md improvement 2 (explicit facts/assumptions not verified in Polsia)",n/a,Improvement,Must,MVP,DISC-001,"All listed fields exist; each is populated, marked unknown, or marked assumed; document renders in under 2s.","Generation failure produces a partial document with missing sections explicitly labeled.",
UNDER-002,Understanding,Fact/assumption/preference separation,"Every understanding item is classified as confirmed fact, preference, constraint, AI assumption, research finding, or open question, with confidence.","No conflation of what's known vs guessed.",Improvement (own design),"polsia-audit-review.md improvement 2",n/a,Improvement,Must,MVP,UNDER-001;MEM-001,"Each item shows class and confidence; filtering by class works; AI assumptions are visually distinct.","Unclassifiable items default to 'open question', never to 'fact'.",
UNDER-003,Understanding,Understanding review controls,"Users can approve, edit, reject, request evidence, or request more research on any understanding item.","Client authority over the foundation.",Improvement (own design),"Task instruction",n/a,Improvement,Must,MVP,UNDER-001,"All five actions are available per item; approval state is persisted and audited; execution planning is blocked until overall approval.","Rejected items return to the interview flow for re-elicitation.",
UNDER-004,Understanding,Assumption lifecycle,"Assumptions carry status (proposed, accepted, validated, invalidated) and can be marked for future validation.","Assumptions get tested, not forgotten.",Improvement (own design),"Task instruction",n/a,Improvement,Must,MVP,UNDER-002;MEM-001,"Assumption status transitions are audited; 'validate later' creates a visible follow-up item.","Invalidated assumptions flag dependent strategy/plan items for review.",
UNDER-005,Understanding,Understanding confidence display,"The understanding document shows overall and per-section confidence derived from item classes.","Honest readiness signal.",Improvement (own design),"Task instruction",n/a,Improvement,Should,MVP,UNDER-002,"Confidence updates when items change; method is documented in-product.","Confidence never displays higher than the weakest Must-have section.",
STRAT-001,Strategy,Distinct strategic options,"After understanding approval the system generates at least 3 genuinely distinct strategic options (different customer, offer, or model — not cosmetic variants).","Real choice instead of a single AI opinion.",Improvement (own design),"raw-audit/09-claim-verification.md claim 23 (multiple options NOT found in Polsia, <50%)",n/a,Improvement,Must,MVP,UNDER-003,"3+ options differ on at least one of customer/offer/model; a similarity check rejects near-duplicates; generation completes within 5 minutes.","Fewer than 3 viable options is stated honestly with reasons rather than padded.",
STRAT-002,Strategy,Option content standard,"Each option includes description, customer, offer, business model, product scope, benefits, risks, cost range, effort, time to validate, time to launch, required resources, key assumptions, validation method, success metrics, and confidence.","Comparable, decision-ready options.",Improvement (own design),"Task instruction; polsia-audit-review.md improvement 3",n/a,Improvement,Must,MVP,STRAT-001,"All 16 fields present per option; cost/time fields use ranges with stated basis, never fake precision.","Fields the system cannot estimate are marked 'unknown' with what would resolve them.",
STRAT-003,Strategy,Option selection controls,"Users can select, edit, combine, or reject options, or request another option.","The client decides the direction.",Improvement (own design),"Task instruction",n/a,Improvement,Must,MVP,STRAT-001,"All five controls work; a combined option is re-rendered in the standard format for confirmation.","Rejection of all options routes back to understanding review with captured reasons.",
STRAT-004,Strategy,AI recommendation with rationale,"The system may recommend one option, always with explicit rationale and its key sensitivities.","Guidance without coercion.",Improvement (own design),"Task instruction",n/a,Improvement,Should,MVP,STRAT-002,"Recommendation shows why, what would change it, and never auto-selects.","Absent a defensible rationale, no recommendation is shown.",
STRAT-005,Strategy,Phase-limited approval,"Users can approve only the first phase of a strategy rather than the whole plan.","Commitment matched to confidence.",Improvement (own design),"Task instruction",n/a,Improvement,Should,MVP,STRAT-003;PLAN-001,"Phase-only approval generates tasks solely for that phase; later phases remain visibly 'not approved'.","Work generation respects the approval boundary; violations are blocked server-side.",
STRAT-006,Strategy,Decision record,"Every strategy selection/edit/rejection creates a durable decision record linking inputs, options considered, and rationale.","Institutional memory of why.",Improvement (own design),"Task instruction",n/a,Improvement,Must,MVP,STRAT-003;MEM-001,"Decision records are immutable, timestamped, linked to the understanding version, and visible in history.","Failed record writes block the transition (decision is not silently unrecorded).",
DEC-001,Decision Room,Decision Room hub,"A single surface shows: needs-your-decision, recommended next actions, questions from the AI team, options under consideration, approved and queued, executing, results, blocked, failed, and recent decisions.","One place to exercise control.",Improvement (own design),"Task instruction; raw-audit/19-competitive-gaps.md (trust opportunity)",n/a,Improvement,Must,MVP,APPR-003;ACT-001,"All ten queues render with correct counts; every item deep-links to its full context; empty states are honest.","Queue load failure degrades per-section, never renders wrong-company items.",
PLAN-001,Planning,Autonomous task planning,"The system reviews company state and generates prioritized tasks with descriptions and types.","The AI team proposes concrete work.",Directly observed,"raw-audit/04-task-and-agent-system.md (planning observation, 95-99%); raw-audit/24-runtime-billing-quality-validation.md",95,Parity,Must,MVP,COMP-002;STRAT-003,"Planning produces 3+ prioritized tasks linked to the selected strategy; each has type and description; planning is visible in the activity feed.","Planning failure is visible with reason; no phantom tasks.",
PLAN-002,Planning,User-steered planning,"Users can direct planning through a chat/planning surface (e.g., ask for tasks toward a goal).","Steering without micromanagement.",Partially verified,"raw-audit/04-task-and-agent-system.md (FAQ chat-run claim, 85%); raw-audit/02-application-map.md (chat surface observed)",80,Parity,Must,MVP,PLAN-001,"A natural-language planning request produces relevant tasks or an honest refusal; intent and effect are previewed before task creation.","Ambiguous requests trigger clarification, not guessed execution.",
PLAN-003,Planning,Recurring planning cycles,"Planning re-runs on a schedule, reviewing progress and generating next tasks.","Continuous progress without prompting.",First-party documented,"raw-audit/04-task-and-agent-system.md (FAQ cycle model, 85%)",85,Parity,Must,Post-MVP,PLAN-001;TASK-003,"Scheduled cycles record review inputs, produced tasks, and completion; missed cycles are visible.","Cycle failure alerts the owner and retries within policy.","Polsia's cycle internals (budget, stop conditions) are unknown."
PLAN-004,Planning,Planning transparency,"Each planning run shows what inputs it considered (memory items, metrics, prior results) and why the top tasks were chosen.","Trustworthy, inspectable planning.",Improvement (own design),"raw-audit/19-competitive-gaps.md (trust gap)",n/a,Improvement,Should,MVP,PLAN-001;MEM-003,"Every planning run links its input snapshot and a rationale per proposed task.","Missing rationale renders as 'not recorded' and counts against quality metrics.",
ROAD-001,Roadmap,Goals roadmap and milestones,"Selecting a strategy generates goals, a roadmap, milestones, and initial tasks, stored as living documents.","From decision to actionable plan.",Directly observed,"raw-audit/03-onboarding-flow.md (roadmap/mission generated, 99%); raw-audit/02-application-map.md (Documents)",95,Parity,Must,MVP,STRAT-003,"Roadmap contains goals, milestones with target sequencing, and generated tasks trace to milestones.","Generation failure preserves the approved strategy and retries; partial roadmaps are labeled.",
ROAD-002,Roadmap,Roadmap revision,"Roadmaps are versioned and editable; changes flag affected tasks and record rationale.","Plans evolve without losing history.",Improvement (own design),"raw-audit/17-acceptance-tests.md AT-023 pattern",n/a,Improvement,Should,MVP,ROAD-001,"Edits create versions with author and reason; affected open tasks are flagged for review.","Version write failure blocks the edit rather than losing history.",
TASK-001,Tasks,Task state machine,"Tasks move through defined states: To Do, Recurring, In Progress, Completed, Rejected, Failed (plus Cancelled).","Predictable, inspectable work lifecycle.",Directly observed,"raw-audit/04-task-and-agent-system.md (six visible buckets, 99%); evidence/task-states.csv",97,Parity,Must,MVP,,"All state transitions are server-enforced, audited, and visible; invalid transitions are rejected.","Stuck tasks time out to Failed with reason.",
TASK-002,Tasks,Task detail,"Each task exposes type, creation time, structured description, and controls appropriate to its state.","Understand any unit of work at a glance.",Directly observed,"raw-audit/04-task-and-agent-system.md (task detail, 99%)",97,Parity,Must,MVP,TASK-001,"Detail view shows all fields; controls reflect state and permissions.","Missing fields render explicitly as missing.",
TASK-003,Tasks,Scheduled autonomous work,"The platform supports scheduled task execution windows ('night shifts') with a monthly allowance.","Progress while the founder sleeps.",Directly observed,"raw-audit/09-claim-verification.md claim 4 (99%); raw-audit/07-billing-and-pricing.md (30/month)",95,Parity,Must,Post-MVP,TASK-001;APPR-001;POL-004,"Scheduled runs occur in the configured window, respect policies, decrement allowance, and record results; owner can disable.","Missed windows are reported; no silent skips.","What one scheduled shift may include needs owner definition (OQ-13)."
TASK-004,Tasks,Manual task execution with credit preflight,"Users can run a task on demand; a preflight shows credit cost and expected side effects before execution; execution consumes one task credit.","On-demand work with informed consent.",Directly observed,"raw-audit/24-runtime-billing-quality-validation.md (observed run consumed a credit); raw-audit/09-claim-verification.md claim 5",95,Parity,Must,MVP,TASK-001;BILL-002,"Preflight shows cost and side-effect class; insufficient credits block execution with a clear path to resolve; ledger entry is atomic with the run.","Execution failure refunds or preserves the credit per documented rule and shows which applied.",
TASK-005,Tasks,Task result artifacts,"Completed tasks produce persistent result artifacts (documents/reports) linked from the task and the document library.","Work leaves usable output.",Directly observed,"raw-audit/24-runtime-billing-quality-validation.md (competitive-audit report persisted, observed)",97,Parity,Must,MVP,TASK-001,"Every Completed task links at least one artifact or an explicit 'no artifact' rationale; artifacts carry provenance (task, worker, inputs, time).","Artifact persistence failure fails the task rather than reporting hollow success.",
TASK-006,Tasks,Failure detail,"Failed tasks show an understandable error reason, what was attempted, whether retry is safe, and suggested next steps.","Failures become actionable, not mysterious.",Improvement (own design),"raw-audit/04-task-and-agent-system.md (Polsia failed task had NO visible error detail); raw-audit/19-competitive-gaps.md",n/a,Improvement,Must,MVP,TASK-001,"Every Failed task shows reason category, human-readable summary, attempt count, and retry safety; support bundle is exportable.","Unknown causes are labeled 'unknown cause' with diagnostic reference, never blank.",
TASK-007,Tasks,Task cancellation and pause,"Users can cancel a queued task and request stop of an in-progress task; the system reaches a defined safe state.","Control over in-flight work.",Partially verified,"raw-audit/04-task-and-agent-system.md (controls not exercised in Polsia); company Pause observed",70,Parity,Must,MVP,TASK-001;ADMIN-001,"Cancel on queued tasks is immediate; stop requests on running tasks reach safe-stop within a bounded time; both are audited.","Uncancellable critical sections complete then honor the stop; state is truthful throughout.",
TASK-008,Tasks,Repeat and delete controls,"Tasks can be repeated (re-queued as a new task) or deleted, with confirmation for delete.","Simple recovery and cleanup.",Directly observed,"raw-audit/04-task-and-agent-system.md (Delete/Repeat controls, 99%)",97,Parity,Must,MVP,TASK-001,"Repeat creates a linked new task; delete requires confirmation and is audited.","Delete of a running task is refused; cancel first.",
TASK-009,Tasks,Idempotent execution,"Task runs are idempotent: a retried or duplicate-triggered run never duplicates an external side effect.","No double sends, double spends, double posts.",Improvement (own design),"raw-audit/18-risk-register.md R-02; raw-audit/17-acceptance-tests.md AT-008",n/a,Improvement,Must,MVP,TASK-001;TOOL-002,"Replay tests show zero duplicate external side effects; every external write carries an idempotency key.","Detected duplicates are suppressed and logged as incidents.",
TASK-010,Tasks,Visible retry policy,"Automatic retries (where enabled) are visible: attempt count, backoff, max attempts, and next attempt time.","No hidden thrashing or silent giving-up.",Improvement (own design),"raw-audit/09-claim-verification.md claim 28 (auto-retry NOT found in Polsia)",n/a,Improvement,Should,MVP,TASK-006,"Task detail shows retry configuration and history; retries respect idempotency.","Exhausted retries move the task to Failed with full history.",
WORK-001,Workers,Worker registry,"The platform maintains a registry of AI workers with declared capabilities, allowed tools, and status.","Know who can do what.",Improvement (own design),"polsia-audit-review.md (fixed agent count NOT verified in Polsia; capability labels only)",n/a,Improvement,Must,MVP,TOOL-001,"Registry lists each worker with capabilities and tool allowlist; tasks record which worker ran them.","Unregistered workers cannot receive tasks.",
WORK-002,Workers,Research worker,"A research worker executes market research, competitor research, and customer-segment analysis tasks producing cited documents.","Core MVP value: real research output.",Improvement (own design),"MVP definition; parity link: research capability observed in raw-audit/04 (labels)",n/a,Improvement,Must,MVP,WORK-001;TASK-005,"Produces structured research documents with sources for the three MVP research task types; outputs pass a usefulness review rubric.","Source-unavailable findings are labeled unverified, never invented.",
WORK-003,Workers,Strategy worker,"A strategy worker executes business-model comparison and strategic-option generation tasks.","Decision-grade strategic input.",Improvement (own design),"MVP definition",n/a,Improvement,Must,MVP,WORK-001;STRAT-001,"Generates options meeting STRAT-002 standard; comparisons state criteria and tradeoffs.","Insufficient input triggers a request for specific missing information.",
WORK-004,Workers,Document worker,"A document worker produces business plans, landing-page copy, and internal product requirements documents.","Tangible startup collateral.",Improvement (own design),"MVP definition",n/a,Improvement,Must,MVP,WORK-001;TASK-005,"Produces the three MVP document types in editable form with provenance.","Quality-check failure returns a draft marked as needing revision.",
WORK-005,Workers,Least-privilege tool access,"Each worker can invoke only its allowlisted tools; allowlists are server-enforced.","Structural safety, not model goodwill.",Improvement (own design),"raw-audit/13-mvp-and-roadmap.md item 6 (tool allowlists); task principles",n/a,Improvement,Must,MVP,WORK-001;TOOL-003,"A worker invoking a non-allowlisted tool is rejected server-side and audited; allowlist changes are audited.","Rejection does not crash the task; it fails that step with reason.",
WORK-006,Workers,Worker pause and disable,"Individual workers can be paused or disabled per company by the owner.","Granular emergency control.",Improvement (own design),"Task instruction (emergency control)",n/a,Improvement,Should,MVP,WORK-001;ADMIN-001,"Disabled workers receive no new tasks; their queued tasks are held visibly.","Disable during execution triggers safe-stop per TASK-007.",
TOOL-001,Tools,Tool registry,"All executable capabilities are registered tools with declared inputs, side-effect class, and risk category.","Complete inventory of what the AI can do.",Improvement (own design),"raw-audit/15-conceptual-data-model.md (ToolCall concept); task principles",n/a,Improvement,Must,MVP,,"Every executable action maps to a registered tool with a risk class; unregistered execution paths do not exist.","Unknown tools cannot be invoked; attempts are audited.",
TOOL-002,Tools,Tool-call records,"Every tool call records worker, task, arguments digest, policy decision, approval reference (if any), result, and receipt for external effects.","Complete evidence chain per action.",Improvement (own design),"raw-audit/15-conceptual-data-model.md invariant 3",n/a,Improvement,Must,MVP,TOOL-001;ACT-002,"100% of tool calls have records; external writes require a stored receipt to claim success.","Missing receipt marks the call outcome 'unconfirmed', never 'succeeded'.",
TOOL-003,Tools,Server-side policy gate,"Every tool call passes a server-side policy evaluation before execution; the model cannot self-authorize.","Safety independent of model judgment.",Improvement (own design),"Task principles 7 and 16-17; raw-audit/13-mvp-and-roadmap.md Gate C",n/a,Improvement,Must,MVP,TOOL-001;POL-006,"Policy engine decision precedes every execution; bypass attempts fail closed and are audited.","Policy-engine unavailability blocks execution (fail closed), with owner notification.",
APPR-001,Approvals,Action risk classification,"Every tool/action is classified: informational, internal-reversible, external, or sensitive-irreversible; classification drives default approval behavior.","Right-sized control per risk.",Improvement (own design),"Task instruction section 12; raw-audit/05-approval-matrix.md (Polsia's matrix mostly unknown)",n/a,Improvement,Must,MVP,TOOL-001,"All registered tools carry a risk class; class changes require admin action and audit.","Unclassified tools default to sensitive-irreversible (most restrictive).",
APPR-002,Approvals,Approval request content,"An approval request shows: exact action, reason, expected result, recipient/destination, data used, cost, risk, reversibility, and preview where applicable.","Informed consent, not rubber-stamping.",Improvement (own design),"raw-audit/09-claim-verification.md claim 25 (previews NOT verified in Polsia); task instruction",n/a,Improvement,Must,MVP,APPR-001,"All applicable fields render for each request type; missing fields block the request from being queued.","Un-previewable actions state why and show the raw payload digest.",
APPR-003,Approvals,Approval inbox,"Pending approvals appear in a dedicated inbox (surfaced in the Decision Room) with filtering and history.","Nothing important gets lost.",Improvement (own design),"polsia-audit-review.md correction 4 (no approval center demonstrated in Polsia)",n/a,Improvement,Must,MVP,APPR-002;DEC-001,"All pending requests appear within seconds; decided items move to history with decision metadata.","Inbox outage blocks approval-gated execution (fail closed).",
APPR-004,Approvals,Payload-bound approvals,"Approvals bind to a content hash of the exact action payload; any edit invalidates the approval and requires re-approval.","What you approved is exactly what runs.",Improvement (own design),"raw-audit/15-conceptual-data-model.md invariant 4; protocol trust rules",n/a,Improvement,Must,MVP,APPR-002,"Executing with a payload whose hash mismatches the approval is rejected server-side and audited; test proves edit-invalidates.","Hash-check failure = rejection, never warn-and-continue.",
APPR-005,Approvals,Approval expiration,"Approvals carry an expiry; expired approvals cannot execute.","Stale consent is not consent.",Improvement (own design),"raw-audit/13-mvp-and-roadmap.md Gate C",n/a,Improvement,Must,MVP,APPR-004,"Expired approval attempts fail closed with a clear re-request path; default expiry per risk class.","Clock issues resolve conservatively (treat as expired).",
APPR-006,Approvals,Approval revocation,"An unexecuted approval can be revoked at any time; revocation takes effect before any subsequent execution attempt.","Change your mind safely.",Improvement (own design),"Task instruction",n/a,Improvement,Must,MVP,APPR-004,"Revoked approvals fail closed on execution attempts; revocation is audited with actor and time.","Race between revoke and execute resolves in favor of revoke or produces a compensating alert.",
APPR-007,Approvals,Approval decision options,"Approvers can approve, reject, edit-then-approve (rebinding the hash), schedule, or approve a limited batch.","Flexible but explicit consent.",Improvement (own design),"Task instruction",n/a,Improvement,Should,MVP,APPR-004,"All five decision paths work; edit-then-approve creates a new bound payload; batch approvals enumerate exact members.","Partial batch failures report per-member outcomes.",
APPR-008,Approvals,Configurable autonomy levels,"The product defines five operating levels (recommend-only, draft-and-approve, approve-by-category, operate-within-limits, advanced autonomy) configurable per company; MVP ships levels 1-2 only.","Autonomy matched to trust earned.",Improvement (own design),"polsia-audit-review.md (five formal levels NOT verified in Polsia); task instruction",n/a,Improvement,Must,MVP (levels 1-2),APPR-001;POL-006,"Level setting changes default approval behavior per risk class as documented; MVP enforces levels 1-2; levels 3-5 are visible but disabled with roadmap note.","Invalid level configurations fall back to the most restrictive level.",
APPR-009,Approvals,Server-authoritative enforcement,"Approval requirements are enforced at the execution layer, not the UI; no client state can authorize an action.","Control that can't be bypassed.",Improvement (own design),"Task principles; raw-audit/17-acceptance-tests.md AT-009",n/a,Improvement,Must,MVP,APPR-004;TOOL-003,"API-level attempts to execute approval-gated actions without a valid approval are rejected; negative tests prove it.","Enforcement-layer errors fail closed.",
APPR-010,Approvals,Action previews,"External, paid, public, or destructive actions render a human-readable preview of exactly what will happen before approval.","See it before it happens.",Improvement (own design),"raw-audit/09-claim-verification.md claim 25; competitive gap",n/a,Improvement,Must,MVP,APPR-002,"Preview matches executed output for previewable types (test-verified); non-previewable types are explicitly labeled.","Preview generation failure blocks the approval request, not the safety.",
POL-001,Policies,Spending limits,"Owners can set spending limits (per task, per day, per month, per category); the policy gate blocks execution beyond limits.","Hard cost ceilings.",Improvement (own design),"raw-audit/09-claim-verification.md claim 21 (only ad budgets documented in Polsia); task instruction",n/a,Improvement,Must,MVP,POL-006,"Limit breach blocks execution with a clear message and escalation option; limits are audited on change.","Ambiguous cost estimates reserve the worst case.",
POL-002,Policies,Volume limits,"Owners can cap message counts, publishing frequency, and task volume per period.","Prevents runaway output.",Improvement (own design),"Task instruction",n/a,Improvement,Must,Post-MVP,POL-006,"Caps enforce at the policy gate; counters are visible; caps change requires owner role.","At-cap actions queue or fail per configured behavior, visibly.",
